,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
155,156,A,Cut,1002,8126007,2579446266,Entertainment,"Oct 29th, 2014",7908,3657740,914,14600,27400,438900,329200,5300000,562,674,https://socialblade.com/youtube/user/watchcut
156,157,A,PDK,138,7912386,2127900458,Entertainment,"Jul 21st, 2009",3704,2088720,522,8400,15700,250600,188000,3000000,586,873,https://socialblade.com/youtube/user/pdkfilms
157,158,A,WisinYYandelVEVO,49,3010601,3163078632,Music,"May 12th, 2009",-91,3882460,971,15500,29100,465900,349400,5600000,2759,481,https://socialblade.com/youtube/user/wisinyyandelvevo
158,159,A,Guava Juice,1297,13464329,5507440609,Entertainment,"Jul 18th, 2006",6260,3628070,907,14500,27200,435400,326500,5200000,213,202,https://socialblade.com/youtube/user/aynakoitsroi
159,160,A,KOCOWA TV,5822,3117364,1503628947,Entertainment,"Jul 7th, 2017",6753,3960230,990,15800,29700,475200,356400,5700000,2613,1377,https://socialblade.com/youtube/user/aqlxq4bs9pji86m9lm18ta
160,161,A,BeckyGVEVO,57,6573299,4844784611,Music,"Sep 4th, 2012",-450,3665390,916,14700,27500,439800,329900,5300000,796,241,https://socialblade.com/youtube/user/beckygvevo
161,162,A,Biper y sus Amigos,49,3399094,1166334064,Music,"Jan 5th, 2012",10337,3618550,905,14500,27100,434200,325700,5200000,2270,1891,https://socialblade.com/youtube/user/biperysusamigos
162,163,A,Blossom,220,10182903,2583536267,Howto,"Jun 1st, 2017",13087,3473750,868,13900,26100,416900,312600,5000000,381,672,https://socialblade.com/youtube/user/2wuptt0k8ydjpfenggoavq
163,164,A,Caso Cerrado,2949,5559493,3141254913,Entertainment,"Mar 12th, 2015",5426,3686810,922,14700,27700,442400,331800,5300000,1028,486,https://socialblade.com/youtube/user/gbofrroopwrumvob5w61oa
164,165,A,Nickelodeon,3221,5815861,3197055415,Entertainment,"Oct 10th, 2005",7506,3516700,879,14100,26400,422000,316500,5100000,956,476,https://socialblade.com/youtube/user/nickelodeon
165,166,A,Tasty,2876,13858941,2631202890,People,"Jan 22nd, 2016",18331,3904500,976,15600,29300,468500,351400,5600000,205,653,https://socialblade.com/youtube/user/jfp8usycjxomnkuyb3cq3q
166,167,A,SyrebralVibes,289,3340603,1870049057,Music,"Jun 30th, 2013",7856,3384600,846,13500,25400,406200,304600,4900000,2329,1036,https://socialblade.com/youtube/user/syrebralvibes
167,168,A,michaeljacksonVEVO,92,8415760,6547714264,Music,"Sep 2nd, 2009",-622,3613220,903,14500,27100,433600,325200,5200000,542,150,https://socialblade.com/youtube/user/michaeljacksonvevo
168,169,A,Infinite,691,10212048,1297495054,Entertainment,"Aug 21st, 2014",24417,2995780,749,12000,22500,359500,269600,4300000,380,1665,https://socialblade.com/youtube/user/_hsjgoo67a6giducyuv_8a
169,170,A,Haschak Sisters,211,6360970,3052501119,Entertainment,"Feb 5th, 2008",4661,3210410,803,12800,24100,385200,288900,4600000,847,508,https://socialblade.com/youtube/user/jhaschak
170,171,A,Avocado Couple I Crazy Comics,69,1395039,275187823,,"Jul 30th, 2018",10993,2382510,596,9500,17900,285900,214400,3400000,8056,10537,https://socialblade.com/youtube/user/zrmfwfwpou9rcmufxwwddg
171,172,A,CoPe TV,48,384793,109983751,Games,"Mar 24th, 2016",10112,3151680,788,12600,23600,378200,283700,4500000,34851,30077,https://socialblade.com/youtube/user/dyfq7e-jdk1dhat0fplavg
172,173,A,Bruno Mars,67,24561511,10529505466,Music,"Sep 19th, 2006",9473,3596990,899,14400,27000,431600,323700,5200000,49,70,https://socialblade.com/youtube/user/elektrarecords
173,174,A,PopularMMOs,4421,16461934,12787986601,Games,"Apr 17th, 2012",3305,3310530,828,13200,24800,397300,297900,4800000,145,40,https://socialblade.com/youtube/user/popularmmos
174,175,A,Linkin Park,491,13918621,6997903091,Music,"Nov 28th, 2006",6535,3553190,888,14200,26600,426400,319800,5100000,202,127,https://socialblade.com/youtube/user/linkinparktv
175,176,A,Ceylin - H Official,286,2566027,1610490494,Entertainment,"Feb 4th, 2015",--,3102880,776,12400,23300,372300,279300,4500000,3506,1270,https://socialblade.com/youtube/user/_klp3sfmiwqhk0q0hwkjua
176,177,A,James Charles,217,16194109,1409300568,Entertainment,"Dec 1st, 2015",33020,3452650,863,13800,25900,414300,310700,5000000,151,1499,https://socialblade.com/youtube/user/ucot-zp428owkyrm2i7v2q
177,178,A,FunFun Toy Doll TV,589,6828078,2766144337,Entertainment,"May 31st, 2016",10659,3553220,888,14200,26600,426400,319800,5100000,749,599,https://socialblade.com/youtube/user/qvs0uzpsh8ydvq7txgnojw
178,179,A,RihannaVEVO,106,26263508,13864487594,Music,"May 12th, 2009",-1221,3296760,824,13200,24700,395600,296700,4700000,40,33,https://socialblade.com/youtube/user/rihannavevo
179,180,A,CNN,144989,6561923,4539083964,News,"Oct 2nd, 2005",7740,3609750,902,14400,27100,433200,324900,5200000,798,279,https://socialblade.com/youtube/user/cnn
180,181,A,DC Kids,850,1822382,1380211863,Film,"Mar 12th, 2015",5311,3429040,857,13700,25700,411500,308600,4900000,5664,1540,https://socialblade.com/youtube/user/yu8stpfzwapr6rfw_jgqca
181,182,A,INSIDER,6623,4192973,2033656430,Travel,"Sep 25th, 2015",9242,3339500,835,13400,25000,400700,300600,4800000,1651,933,https://socialblade.com/youtube/user/hjuqzuzapbh-cuhryxizrg
182,183,A,IGN,132237,11911687,8866345596,Games,"Sep 19th, 2006",4846,3351580,838,13400,25100,402200,301600,4800000,277,88,https://socialblade.com/youtube/user/ignentertainment
183,184,A,CoryxKenshin,1412,4252187,1744311257,Games,"Apr 27th, 2009",12178,3438690,860,13800,25800,412600,309500,5000000,1608,1140,https://socialblade.com/youtube/user/coryxkenshin
184,185,A,TaylorSwiftVEVO,82,27624698,16425040185,Music,"May 12th, 2009",-2024,3287940,822,13200,24700,394600,295900,4700000,35,21,https://socialblade.com/youtube/user/taylorswiftvevo
185,186,A,SiaVEVO,102,10397077,7603378495,Music,"May 12th, 2009",-879,3285320,821,13100,24600,394200,295700,4700000,365,113,https://socialblade.com/youtube/user/siavevo
186,187,A,EnriqueIglesiasVEVO,132,13656427,12042164327,Music,"May 12th, 2009",-810,3428280,857,13700,25700,411400,308500,4900000,208,42,https://socialblade.com/youtube/user/enriqueiglesiasvevo
187,188,A,VARIDESK,99,4996,62765474,People,"Apr 20th, 2013",--,1022070,256,4100,7700,122600,92000,1500000,1219757,48845,https://socialblade.com/youtube/user/varidesk
188,189,A,NBA,30590,11171279,5527857260,Sports,"Nov 21st, 2005",7042,2976550,744,11900,22300,357200,267900,4300000,317,197,https://socialblade.com/youtube/user/nba
189,190,A,Maya and Mary [EN],65,1387698,815867256,Entertainment,"Aug 30th, 2013",--,4269940,1100,17100,32000,512400,384300,6100000,8100,2971,https://socialblade.com/youtube/user/50vbatkluojf1wx5q0pmuw
190,191,A,MundoBitaVEVO,37,1282075,1773286683,Music,"Dec 2nd, 2013",2788,3128740,782,12500,23500,375400,281600,4500000,8996,1107,https://socialblade.com/youtube/user/mundobitavevo
191,192,A,deathmule,5857,1145133,830240473,Games,"Feb 1st, 2007",428,3490970,873,14000,26200,418900,314200,5000000,10334,2887,https://socialblade.com/youtube/user/deathmule
192,193,A,Dalex,33,624767,166587171,Music,"May 28th, 2013",8876,2869740,717,11500,21500,344400,258300,4100000,20790,17913,https://socialblade.com/youtube/user/escejkjs0w4ltptfubyu0g
193,194,A,Morphle TV,432,5000050,3739525487,Entertainment,"Dec 15th, 2011",4086,2872420,718,11500,21500,344700,258500,4100000,1236,370,https://socialblade.com/youtube/user/magicpetssongs4kids
194,195,A,Wiz Khalifa,456,18016795,8703478109,Music,"May 9th, 2008",9160,3083490,771,12300,23100,370000,277500,4400000,123,91,https://socialblade.com/youtube/user/taylorgangent
195,196,A,Vat19,1355,6117321,5009635693,Entertainment,"Feb 28th, 2007",3642,3230100,808,12900,24200,387600,290700,4700000,893,230,https://socialblade.com/youtube/user/vat19com
