,Rank,Grade,Name,Uploads,Subscribers,Views,Daily Average Subs,Daily Average Video Views,Daily Min Estimated Earnings,Daily Max Estimated Earnings,URL
204,205,A-,Marmok,244,8975186,1308879235,10362,1870110,468,7500,https://socialblade.com/youtube/user/dj47maryn
205,206,A,Pencilmation,457,8964971,4329345950,16668,8082170,2000,32300,https://socialblade.com/youtube/user/rossbollinger
206,207,B+,TED-Ed,1576,8957667,1327472076,5730,1197370,299,4800,https://socialblade.com/youtube/user/tededucation
207,208,A,JesseAndMike,424,8940158,5906567371,9475,5065980,1300,20300,https://socialblade.com/youtube/user/jesseandmike
208,209,B+,Karina Garcia,326,8899858,1353460376,2568,532106,133,2100,https://socialblade.com/youtube/user/thekarinabear
209,210,A-,twenty one pilots,108,8897638,1814502623,7184,2177630,544,8700,https://socialblade.com/youtube/user/twentyonepilots
210,211,B,Michelle Phan,249,8895478,1034960111,-68,53130,13,213,https://socialblade.com/youtube/user/michellephan
211,212,B,P!NK,9,8837720,35336039,4851,46454,12,186,https://socialblade.com/youtube/user/pinkvideovault
212,213,A-,The LaBrant Fam,304,8836024,2292694055,4832,2095340,524,8400,https://socialblade.com/youtube/user/4-ch0epzzpd_arhxcx6laq
213,214,B,Farruko,114,8834643,666787145,3993,283828,71,1100,https://socialblade.com/youtube/user/farrukotv
214,215,B-,CNCO,92,8783059,55424442,3949,21094,5,84,https://socialblade.com/youtube/user/qthoqxv71oq-fmldi8rbyw
215,216,B+,Tanner Fox,1076,8727004,1730814007,1704,538436,135,2200,https://socialblade.com/youtube/user/mtflims
216,217,A-,Just For Laughs Gags,4239,8721681,4851590823,3144,2292560,573,9200,https://socialblade.com/youtube/user/justforlaughstv
217,218,B+,How It Should Have Ended,341,8716679,2263213501,2709,806069,202,3200,https://socialblade.com/youtube/user/hishedotcom
218,219,B+,MeghanTrainorVEVO,51,8693148,5636882781,-612,1123660,281,4500,https://socialblade.com/youtube/user/meghantrainorvevo
219,220,B,grav3yardgirl,1498,8657774,1567818740,-1059,112566,28,450,https://socialblade.com/youtube/user/grav3yardgirl
220,221,B+,RocketJump,338,8637514,1710953098,1466,510950,128,2000,https://socialblade.com/youtube/user/freddiew
221,222,A,Netflix,2815,8633800,1746713257,22263,2804000,701,11200,https://socialblade.com/youtube/user/newonnetflix
222,223,D-,Toy Freaks,492,8547801,6933735324,11111,9314800,2300,37300,https://socialblade.com/youtube/user/3uptheyingyang
223,224,D-,Apple,283,8538175,498613896,7165,1351840,338,5400,https://socialblade.com/youtube/user/apple
224,225,B,Shane Dawson TV,204,8483546,1091623004,101,-1562510,0,0,https://socialblade.com/youtube/user/shanedawsontv
225,226,B-,DCTC Toy Channel,2090,8471758,4614016405,-948,39455,10,158,https://socialblade.com/youtube/user/matercarclub
226,227,B+,Colleen Ballinger,944,8451404,1448858593,1206,571928,143,2300,https://socialblade.com/youtube/user/psychosoprano
227,228,A,michaeljacksonVEVO,92,8415774,6545427553,-602,3613220,903,14500,https://socialblade.com/youtube/user/michaeljacksonvevo
228,229,A-,Eh Bee Family,712,8400483,2099121145,2760,1345480,336,5400,https://socialblade.com/youtube/user/ehbeefamily
229,230,B+,Migos ATL,68,8393413,2060230288,6045,954109,239,3800,https://socialblade.com/youtube/user/migosatl
230,231,B+,PlayStation,10650,8368831,2133602139,3876,1093090,273,4400,https://socialblade.com/youtube/user/playstation
231,232,B+,CinemaSins,716,8360025,2653063404,2565,1028260,257,4100,https://socialblade.com/youtube/user/cinemasins
232,233,B+,Marques Brownlee,1106,8298448,1249947245,4472,943128,236,3800,https://socialblade.com/youtube/user/marquesbrownlee
233,234,A-,Proximity,1313,8245476,3440259803,2274,1458820,365,5800,https://socialblade.com/youtube/user/pandoramuslc
234,235,A-,Annoying Orange,1223,8191003,5855282611,3394,1897270,474,7600,https://socialblade.com/youtube/user/realannoyingorange
235,236,A,Cut,1002,8121022,2577337585,7776,3657740,914,14600,https://socialblade.com/youtube/user/watchcut
236,237,B+,dangmattsmith,490,8096832,1188620114,6071,780578,195,3100,https://socialblade.com/youtube/user/dangmattsmith
237,238,A-,Diana Roma Show,54,8067933,281675155,9970,2304490,576,9200,https://socialblade.com/youtube/user/theelenaya
238,239,B+,AlishaMarie,285,8066875,1024480383,1334,436089,109,1700,https://socialblade.com/youtube/user/macbby11
239,240,A-,Chill Nation,1093,8059506,2296687521,8082,2323300,581,9300,https://socialblade.com/youtube/user/chillstepnation
240,241,B,Lana Del Rey,22,8057519,681859170,2184,100505,25,402,https://socialblade.com/youtube/user/lanadelrey
241,242,B,TheBrainDit,6473,8056342,2740539533,805,396321,99,1600,https://socialblade.com/youtube/user/thebraindit
242,243,A,EllieGouldingVEVO,99,8014652,4747712567,-508,2017230,504,8100,https://socialblade.com/youtube/user/elliegouldingvevo
243,244,A,Saturday Night Live,6738,8012573,6214132471,10442,8167610,2000,32700,https://socialblade.com/youtube/user/saturdaynightlive
244,245,A,Family Fun Pack,1454,8007521,11615563955,2547,2379260,595,9500,https://socialblade.com/youtube/user/familyfunpack
245,246,A,Peppa Pig - Official Channel,428,7988702,3077652256,12317,6739460,1700,27000,https://socialblade.com/youtube/user/theofficialpeppa
246,247,C+,Justin Timberlake,14,7977220,22418127,1800,925,0.23,4,https://socialblade.com/youtube/user/justintimberlake
247,248,A,PDK,138,7909931,2127342148,3636,2088720,522,8400,https://socialblade.com/youtube/user/pdkfilms
248,249,A,MrBrent98,290,7898723,1031308078,14676,2640620,660,10600,https://socialblade.com/youtube/user/mrbrent98
249,250,B+,Alan Becker,87,7868351,1012738098,4270,872277,218,3500,https://socialblade.com/youtube/user/noogai89
